plantime,runway,airline,destination,REG,peak,gate,cat,distance,meantime_taxi_number,mean_taxi_time,land_takeoff_number,time
2016/5/6 16:45,35,22,184,2760,9,237,8,35237,19,16.75074503,14,14.6
2016/5/6 16:45,35,38,170,1475,9,38,25,3538,17,16.31926484,17,12.3
2016/5/6 16:50,34,0,18,4046,9,199,49,34199,20,16.51023069,13,20.8
2016/5/6 16:50,34,93,122,112,9,198,18,34198,20,16.77013631,20,20.5
2016/5/6 16:50,35,34,216,2368,9,206,8,35206,17,16.91586614,22,14.8
2016/5/6 16:55,34,26,71,1887,9,17,12,3417,29,16.75586354,27,25.7
2016/5/6 16:55,34,38,212,840,9,117,30,34117,17,16.83656656,15,17.9
2016/5/6 16:55,34,36,100,2988,9,223,12,34223,16,16.84845228,17,16.7
2016/5/6 17:00,34,39,76,2207,9,182,8,34182,32,16.83656656,27,27.2
2016/5/6 17:05,34,39,233,452,9,146,9,34146,28,17.85803611,13,19.5
2016/5/6 17:05,34,12,48,3653,9,229,40,34229,24,17.01786012,12,13.7
